Region,Zone,Cattle,Sheep,Goats,Horses,Donkeys,Mules,Camels,Poultry,Beehives
Ethiopia,,57829953,28892380,29704958,2082203,405950,7881394,1228023,60505327,5916100
Tigray,,4613475,1637697,3948276,2168,7536,802807,59846,6329501,263961
Tigray,North West Tigray,1803123,219691,1922107,0,350,252051,21720,2462627,79832
Tigray,Central Tigray,771425,387751,893506,0,1338,182837,4457,1397424,79373
Tigray,Eastern Tigray,441023,586905,224724,796,993,130963,0,903436,38124
Tigray,Southern Tigray,739618,359732,355995,192,3271,165890,25304,750084,37035
Tigray,Western Tigray,858286,83618,551943,1180,1584,71067,8365,815930,29597
Afar,,1495054,1732090,3301056,0,636,133481,460624,106355,310
Afar,Zone 1,947240,933327,1769578,0,0,58816,169076,1465,0
Afar,Zone 3,547813,798763,1531478,0,636,74665,291549,104890,310
Amhara,,15454923,9797248,6085912,471611,177544,2829592,63500,19958894,1328235
Amhara,North Gonder,3525578,1118369,1767857,32226,7178,454024,2562,6193835,273700
Amhara,South Gonder,1751513,971891,554086,33539,15601,329814,0,2029761,191344
Amhara,North Wolo,855444,654860,510097,29444,12324,206089,17422,1007118,44404
Amhara,South Wolo,1754510,1864453,812473,78167,39567,477859,17808,2027578,186977
Amhara,North Shewa,1451080,1747816,817496,53989,12891,422108,14470,1830276,80512
Amhara,East Gojam,1958387,1365001,508984,102003,20908,420535,0,1585455,151047
Amhara,West Gojam,2319049,1206147,355190,45236,43768,300221,0,3456879,197222
Amhara,Waghamera,351680,156918,398867,230,2975,83306,0,335398,50513
Amhara,Awi,1188485,602997,153218,95768,22334,85998,0,1189287,142488
Amhara,Oromia,275707,99377,180820,1009,0,46351,10672,268447,8241
Amhara,Argoba Special Wereda,23490,9418,26823,0,0,3288,565,34861,1788
Oromia,,23336510,9486687,8377584,1242071,152178,3214317,272344,21201122,3009745
Oromia,West Wellega,1036434,270603,137509,2020,3697,133495,0,1553416,349353
Oromia,East Wellega,943725,217502,130294,4127,4688,92257,0,948843,236377
Oromia,Illubabor,1182781,409028,222576,60474,13930,41786,0,1227807,421738
Oromia,Jimma,2212962,866561,457311,96782,17644,77767,0,1951129,546722
Oromia,West Shewa,2116203,973499,434531,151963,11720,254862,0,1961058,219317
Oromia,North Shewa,1600456,1143108,318756,84467,5301,288011,0,1044766,71714
Oromia,East Shewa,1138454,355552,599916,16952,7153,336766,4424,1244843,14594
Oromia,Arsi,2549380,1572330,1059011,239625,24605,463231,62335,1847197,95152
Oromia,West Harerghe,1017806,182149,890226,0,1102,216819,40337,1512784,65846
Oromia,East Harerghe,1040430,468211,1051783,395,978,272535,35167,1564569,59795
Oromia,Bale,1566521,298293,726394,90685,17272,239705,29639,710593,190847
Oromia,Borena,1081553,343674,876139,874,2102,73762,75622,689154,68953
Oromia,South West Shewa,1138472,433920,376552,65139,8909,229197,0,1121550,101736
Oromia,Guji,1503241,567042,423698,168299,16291,97997,24193,914064,223067
Oromia,West Arsi,2010245,948174,404220,204454,7094,258862,627,1293496,124023
Oromia,Kelem Wellega,530244,233306,122086,13650,6937,51179,0,1035282,107878
Oromia,Horoguduru Wellega,667605,203735,146582,42167,2755,86085,0,580569,112633
Somale,,631059,1308309,1835811,0,71,148724,362291,177300,2022
Somale,Shinele,16449,45700,121420,0,0,7358,8012,6387,200
Somale,Jijiga,369843,863758,612304,0,0,69948,100639,7087,1294
Somale,Liben,244768,398850,1102088,0,71,71418,253640,163826,528
Benshangul-Gumuz,,726265,97934,448635,1168,1989,76558,405,1363061,219448
Benshangul-Gumuz,Metekel,590598,68362,213642,1168,1932,41674,405,658603,114613
Benshangul-Gumuz,Asosa,84630,14829,172271,0,0,28118,0,510527,49227
Benshangul-Gumuz,Kemeshi,41521,8422,44307,0,41,5187,0,130339,12065
Benshangul-Gumuz,Mao Komo,9516,6321,18415,0,15,1580,0,63593,43543
SNNP,,11171151,4703558,5343072,363841,65890,641163,0,10851155,992633
SNNP,Gurage,871915,351058,153704,49827,3334,95306,0,838049,48046
SNNP,Hadiya,887734,239808,169414,29626,5755,111247,0,969682,75390
SNNP,Kembata Tembaro,371007,110493,52051,8796,1055,35303,0,356337,22879
SNNP,Sidama,2053625,531132,300716,50081,5729,71128,0,1760300,117248
SNNP,Gedio,120285,227774,16545,18573,3606,3490,0,303326,32171
SNNP,Wolayita,823831,245456,133437,239,1698,36585,0,877768,52991
SNNP,South Omo,1776996,1243506,3084232,21109,5110,26215,0,1218629,73949
SNNP,Shaka,134237,56754,21206,10879,980,2216,0,181938,81360
SNNP,Kaffa,898979,465734,268713,80817,11485,870,0,1030071,158021
SNNP,Gamo Gofa,1245102,451955,379174,41478,13513,60124,0,1042701,99266
SNNP,Bench Maji,329102,159065,87314,10793,1117,1042,0,559861,56547
SNNP,Yem Sp. Wereda,72260,28143,38687,442,69,4937,0,57824,10833
SNNP,Dawro,302959,95574,57613,5695,6354,3371,0,198153,39969
SNNP,Basketo Sp. Wereda,47871,17938,10206,513,758,1257,0,64595,4889
SNNP,Konta Sp. Wereda,103350,25545,15042,1333,1776,1922,0,108786,39843
SNNP,Silte,544910,277198,205416,28374,1541,108913,0,696660,33708
SNNP,Alaba Sp. Wereda,163909,55246,68169,2005,243,37760,0,159326,10320
SNNP,Segen People,423080,121177,281432,3261,1766,39477,0,427149,35203
Gambela Region,,280561,44285,94184,1111,107,1284,0,358288,96581
Gambela Region,Agnuwak,28782,1591,24464,0,0,1284,0,169283,53790
Gambela Region,Nuware,215471,34476,59067,0,0,0,0,85672,0
Gambela Region,Mezhenger,20227,5929,4326,1111,107,0,0,60476,42792
Gambela Region,Itang Special,16080,2289,6327,0,0,0,0,42858,0
Harari,,68240,9153,67721,0,0,13696,3274,74332,1717
Harari,Hundene,68240,9153,67721,0,0,13696,3274,74332,1717
Dire Dawa,,52716,75419,202707,233,0,19772,5740,85318,1446
